~~ DO NOT EDIT THE FIRST 2 LINES
~~ FORMAT: <channel name> | <group name> | <logo> | <stream url>

Camping Jesolo International | Webcam | https://www.visitjesolo.it/sites/default/files/styles/600_360/public/schstr/restyling-logo-comino-01_0.png | https://www.youtube.com/channel/UCDB_gbIJPzzT7xg__hSfqSw/live
Rheinfall Schaffhausen | Webcam | https://www.bodensee.de/extension/portal-bodensee/var/storage/images/media/bibliothek/ausflugsziele/rheinfall/fruehlingsstimmung-am-rheinfall/510453-1-ger-DE/fruehlingsstimmung-am-rheinfall_front_large.jpg | https://www.youtube.com/user/schaffhauserland/live
The Good Life Radio | Radio | https://img.youtube.com/vi/36YnV9STBqc/maxresdefault.jpg | https://www.youtube.com/watch?v=36YnV9STBqc
Deep House Radio | Radio | https://img.youtube.com/vi/19hKXI1ENrY/maxresdefault.jpg | https://www.youtube.com/watch?v=19hKXI1ENrY
Bodensee Webcam | Webcam | https://img.youtube.com/vi/AGCX-AKRxRg/maxresdefault.jpg | https://www.youtube.com/watch?v=AGCX-AKRxRg
Parookaville Live | Tomorrowland | https://www.livetracklist.com/wp-content/uploads/parookaville-artwork.jpg | https://www.youtube.com/c/ParookavilleTV/live
New York - Time Square Webcam | Webcam | https://glassolutions.at/sites/glassolutions.eu/files/styles/photo_gallery_style/public/2019-01/TKTS_1.jpg | https://www.youtube.com/watch?v=1-iS7LArMPA
LA - Venice Beach - V Hotel | Webcam | https://img.youtube.com/vi/vvOjJoSEFM0/maxresdefault.jpg | https://www.youtube.com/watch?v=vvOjJoSEFM0
Stuttgart Webcam | Webcam | https://img.youtube.com/vi/JZt7FTJmMk4/maxresdefault.jpg | https://www.youtube.com/watch?v=JZt7FTJmMk4
One World Radio | Radio | https://img.youtube.com/vi/Ehnp6MzX1v4/maxresdefault.jpg | https://www.youtube.com/watch?v=Ehnp6MzX1v4
Trap Flow 1 - Remixes of Popular Songs + EDM | Radio | https://img.youtube.com/vi/2c1RDuDJQNk/maxresdefault.jpg | https://www.youtube.com/watch?v=2c1RDuDJQNk
Trap Flow 2 - Popmusik, EDM & Tanzmusik | Radio | https://img.youtube.com/vi/ym5JzePPWCo/maxresdefault.jpg | https://www.youtube.com/watch?v=ym5JzePPWCo
Trap Nation Radio | Radio | https://img.youtube.com/vi/6Qq2OMFh8Pc/maxresdefault.jpg | https://www.youtube.com/watch?v=6Qq2OMFh8Pc
Los Angeles International Airport Live | Webcam | https://yt3.ggpht.com/JPTXS_Z_SuR0W0aw5OtRN-V1fXOUPRtm2QNqnNEgFhH368VIbv_2N5XR31GrwpmsI65mgBWdAew=s900-c-k-c0x00ffffff-no-rj | https://www.youtube.com/channel/UC7WAqB7dyv1t8jKunD-8krA/live
A State Of Trance Radio | Radio | https://yt3.ggpht.com/ytc/AMLnZu9r8j-7Y5baAiRIB8H85EDlFeyDr97phSHZkbP8iHo=s1024-c-k-c0x00ffffff-no-rj | https://www.youtube.com/c/astateoftrance/live
Jesolo Strand Live | Webcams Italien | https://upload.wikimedia.org/wikipedia/commons/f/f8/Jesolostemma.png | https://www.skylinewebcams.com/de/webcam/italia/veneto/venezia/spiaggia-di-jesolo.html
Marina di Venezia Live | Webcams Italien | https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ17q_wETkr-1fy1dR2wsEHSuSYodE5JkFmSg&usqp=CAU | https://www.marinadivenezia.it/de/live-cam
Papaplatte | Twitch | https://static-cdn.jtvnw.net/jtv_user_pictures/f31a38f2-7cf3-4c38-a198-d50e13bcbbb7-profile_image-300x300.png | https://zwickt.stream/twitch/1080p/papaplatte.m3u8 | ZWICKT=https://www.twitch.tv/papaplatte
Zarbex | Twitch | https://static-cdn.jtvnw.net/jtv_user_pictures/7ab6f3d5-dfc9-40d6-8584-c016cd4d3b9e-profile_image-300x300.png | https://zwickt.stream/twitch/1080p/zarbex.m3u8 | ZWICKT=https://www.twitch.tv/zarbex
